Dato;Distance;Minutter
29/12/2021;5.40;00:00:00
31/12/2021;5.66;00:00:00
5/01/2022;5.24;00:00:00
8/01/2022;11.43;00:00:00
10/01/2022;5.00;00:00:00
12/01/2022;5.44;00:00:00
15/01/2022;6.71;00:00:00
19/01/2022;5.41;00:00:00
23/01/2022;8.13;00:00:00
